0,13,-1
0,14,7
0,34,10
0,41,-3
0,44,4
0,48,7
0,50,-1
0,52,9
0,67,-6
0,68,-8
0,78,10
0,118,-2
0,123,-10
0,130,-5
0,162,3
0,182,6
0,196,-3
0,202,1
0,211,3
0,226,-7
0,230,-1
0,247,-6
0,251,2
0,277,-9
0,283,2
0,288,4
0,291,-3
0,293,-1
0,417,-1
0,436,5
0,473,4
0,483,-10
0,511,-4
0,540,7
0,574,-7
0,578,-5
0,588,2
0,628,6
0,634,-9
0,649,6
0,720,-6
0,779,4
0,797,2
0,798,9
0,818,9
0,819,8
0,832,6
0,843,-3
0,856,7
0,902,-4
0,913,6
0,915,4
1,4,2
1,28,9
1,31,9
1,32,-9
1,40,6
1,86,-2
1,123,10
1,135,3
1,148,7
1,155,-2
1,161,-2
1,181,7
1,203,-9
1,229,9
1,249,-5
1,262,-2
1,268,7
1,319,-9
1,336,8
1,377,3
1,399,-8
1,404,-2
1,494,5
1,507,-6
1,534,10
1,559,-10
1,597,6
1,643,2
1,652,-10
1,664,8
1,761,-1
1,830,5
1,838,-5
1,852,8
1,858,1
1,870,7
1,928,-4
1,941,7
1,984,-7
1,993,7
1,996,-3
2,7,-9
2,34,-3
2,59,4
2,60,9
2,87,2
2,90,-7
2,128,-7
2,129,10
2,145,5
2,184,1
2,191,-10
2,200,10
2,214,4
2,244,-10
2,295,10
2,326,1
2,327,-6
2,339,-1
2,346,-5
2,408,7
2,446,-10
2,461,-7
2,476,-2
2,496,4
2,510,7
2,517,9
2,551,-4
2,574,4
2,578,10
2,587,-7
2,595,9
2,608,-10
2,676,-1
2,690,-2
2,694,7
2,743,-3
2,772,-10
2,783,-3
2,841,-10
2,843,8
2,886,-5
2,906,-1
2,973,10
3,14,-8
3,16,-5
3,19,3
3,32,5
3,39,-5
3,52,1
3,71,-4
3,92,-10
3,106,-1
3,112,-3
3,126,-1
3,131,-3
3,143,6
3,154,-5
3,155,4
3,165,-9
3,167,-3
3,185,9
3,193,6
3,194,2
3,220,-2
3,238,6
3,270,2
3,366,7
3,371,1
3,386,-2
3,417,-8
3,460,-2
3,511,-10
3,622,10
3,626,4
3,642,-1
3,706,-8
3,715,-9
3,734,-10
3,789,-5
3,816,-4
3,821,7
3,825,-8
3,830,7
3,853,3
3,889,6
3,892,-2
3,894,-8
3,947,6
3,955,-9
3,992,6
4,21,8
4,33,8
4,40,5
4,50,-3
4,57,-10
4,63,-9
4,77,-6
4,123,2
4,128,-5
4,132,-4
4,166,3
4,192,3
4,197,10
4,231,-1
4,252,-1
4,260,3
4,272,-8
4,303,3
4,357,2
4,390,-2
4,401,-1
4,406,-9
4,421,2
4,429,-9
4,432,-10
4,441,-9
4,449,9
4,501,-2
4,518,3
4,523,-6
4,551,-3
4,568,-2
4,599,5
4,653,-1
4,659,-9
4,689,3
4,711,9
4,785,-9
4,810,-3
4,812,9
4,819,-6
4,840,-6
4,843,-6
4,863,-1
4,963,6
4,1020,5
5,53,-2
5,54,10
5,75,6
5,124,-3
5,155,-6
5,156,-10
5,173,-7
5,190,-4
5,201,5
5,225,-9
5,241,4
5,244,4
5,289,-3
5,294,4
5,371,4
5,388,-3
5,389,-7
5,414,10
5,442,-4
5,453,5
5,456,7
5,463,3
5,487,-9
5,495,3
5,548,-7
5,562,4
5,573,-5
5,605,-6
5,612,-10
5,642,10
5,647,-4
5,715,9
5,718,-10
5,744,-2
5,767,-2
5,772,2
5,838,3
5,839,8
5,887,-2
5,920,-1
5,923,-8
5,931,9
5,969,6
5,994,-10
6,13,7
6,18,-10
6,25,-5
6,47,9
6,64,-7
6,162,10
6,187,-9
6,188,8
6,227,-9
6,256,-9
6,260,-2
6,272,8
6,278,9
6,280,6
6,297,-5
6,309,-1
6,316,4
6,390,-6
6,445,-3
6,459,-3
6,482,-9
6,533,-10
6,548,-3
6,550,2
6,565,10
6,634,7
6,648,-9
6,660,-7
6,661,10
6,667,-4
6,725,-8
6,759,-2
6,809,8
6,817,-9
6,836,9
6,840,-4
6,873,10
6,876,7
6,885,-2
6,918,1
6,935,-10
6,949,-8
6,958,8
6,965,-10
6,976,10
6,993,5
6,999,-3
7,8,-3
7,52,-6
7,71,6
7,92,9
7,112,1
7,142,4
7,187,1
7,189,4
7,217,-10
7,245,-1
7,272,-8
7,297,-1
7,424,2
7,440,8
7,480,1
7,481,7
7,484,9
7,500,7
7,552,-3
7,589,-3
7,626,-9
7,636,-5
7,643,-5
7,648,5
7,684,-1
7,767,-2
7,774,-8
7,785,5
7,786,9
7,790,-4
7,796,4
7,824,-6
7,826,-1
7,863,-6
7,874,9
7,896,9
7,916,-1
7,937,2
7,961,-4
7,965,3
7,974,6
7,981,10
7,996,8
7,1004,-9
7,1021,-6
8,18,10
8,31,-8
8,35,6
8,49,4
8,52,2
8,70,7
8,87,-3
8,90,6
8,108,-10
8,124,4
8,125,-3
8,129,-7
8,192,-10
8,225,-4
8,243,8
8,250,-4
8,256,-4
8,293,-1
8,304,-10
8,330,10
8,333,-4
8,349,-1
8,424,9
8,469,-10
8,501,-9
8,504,-10
8,514,8
8,516,-8
8,530,-1
8,531,-2
8,572,-3
8,600,-3
8,630,10
8,640,-7
8,654,8
8,694,-10
8,743,6
8,749,-10
8,770,-4
8,793,7
8,863,-4
8,870,-4
8,871,7
8,873,1
8,879,-2
8,884,-5
8,889,7
8,931,-2
8,952,-4
8,953,-7
8,954,9
8,982,6
8,1005,5
8,1010,-8
8,1013,10
8,1019,7
9,11,5
9,36,7
9,100,-7
9,112,3
9,186,-7
9,206,7
9,244,-6
9,248,5
9,261,-4
9,267,9
9,312,7
